"""Datum""";"""alias""";"""timestamp""";"""value""";"""air_temperature""";;;;;;
22.01.2016 06:37;8;1.45344E+12;11;0.3;;;;;;
25.01.2016 07:16;5;1.45371E+12;4;1.3;;;;;;
26.01.2016 01:47;7;1.45377E+12;2;2;;;;;;
31.01.2016 01:43;6;1.4542E+12;9;6.1;;;;;;
01.02.2016 04:56;9;1.4543E+12;11;12.6;;;;;;
03.02.2016 08:07;7;1.45449E+12;3;5.7;;;;;;
04.02.2016 02:02;9;1.45455E+12;12;2.6;;;;;;
04.02.2016 14:42;5;1.4546E+12;11;4.6;;;;;;
06.02.2016 05:04;8;1.45474E+12;2;1.8;;;;;;
08.02.2016 18:20;5;1.45496E+12;9;10.9;;;;;;
14.02.2016 02:41;5;1.45542E+12;0;9.3;;;;;;
24.02.2016 22:26;6;1.45635E+12;4;1.1;;;;;;
25.02.2016 23:01;7;1.45644E+12;2;2.3;;;;;;
28.02.2016 00:45;5;1.45662E+12;0;3.3;;;;;;
01.03.2016 16:04;6;1.45685E+12;8;5.5;;;;;;
02.03.2016 11:31;7;1.45692E+12;3;5.5;;;;;;
03.03.2016 00:08;7;1.45696E+12;8;1.7;;;;;;
03.03.2016 18:34;6;1.45703E+12;7;3.6;;;;;;
04.03.2016 14:58;9;1.4571E+12;0;5.2;;;;;;
08.03.2016 05:10;9;1.45741E+12;5;0.5;;;;;;
14.03.2016 00:03;9;1.45791E+12;5;4.9;;;;;;
14.03.2016 21:16;5;1.45799E+12;3;5.4;;;;;;
18.03.2016 16:57;8;1.45832E+12;5;15.9;;;;;;
21.03.2016 03:16;7;1.45853E+12;8;3.8;;;;;;
21.03.2016 16:20;6;1.45858E+12;12;7.2;;;;;;
23.03.2016 09:28;6;1.45873E+12;11;5.4;;;;;;
23.03.2016 14:09;8;1.45874E+12;6;6.9;;;;;;
08.04.2016 20:27;5;1.46015E+12;2;6.2;;;;;;
13.04.2016 12:53;6;1.46055E+12;9;11.5;;;;;;
17.04.2016 04:02;8;1.46087E+12;1;11;;;;;;
18.04.2016 04:58;7;1.46096E+12;3;5.8;;;;;;
18.04.2016 07:08;6;1.46096E+12;1;5.9;;;;;;
22.04.2016 01:03;6;1.46129E+12;7;12.9;;;;;;
22.04.2016 18:28;6;1.46135E+12;5;20.1;;;;;;
23.04.2016 18:39;5;1.46144E+12;10;9.4;;;;;;
24.04.2016 20:54;7;1.46153E+12;2;4.6;;;;;;
26.04.2016 01:07;7;1.46163E+12;8;6.2;;;;;;
02.05.2016 13:50;6;1.4622E+12;6;11.6;;;;;;
03.05.2016 21:08;9;1.46231E+12;12;10;;;;;;
05.05.2016 08:36;5;1.46244E+12;4;11.5;;;;;;
09.05.2016 03:10;9;1.46276E+12;7;12.4;;;;;;
18.05.2016 05:00;6;1.46355E+12;12;8.4;;;;;;
19.05.2016 19:02;7;1.46368E+12;2;12.1;;;;;;
20.05.2016 19:08;6;1.46377E+12;3;19.3;;;;;;
27.05.2016 09:55;6;1.46434E+12;11;19.2;;;;;;
03.06.2016 02:30;8;1.46492E+12;9;15;;;;;;
03.06.2016 20:23;5;1.46499E+12;4;17;;;;;;
06.06.2016 04:39;6;1.46519E+12;9;15;;;;;;
06.06.2016 21:22;6;1.46525E+12;8;21;;;;;;
13.06.2016 00:00;9;1.46578E+12;6;16.6;;;;;;
15.06.2016 18:02;8;1.46601E+12;11;15.8;;;;;;
16.06.2016 09:58;6;1.46607E+12;3;13.9;;;;;;
16.06.2016 17:20;9;1.4661E+12;0;15.8;;;;;;
18.06.2016 04:56;7;1.60007E+12;7;12.1;;;;;;
20.06.2016 18:23;9;1.46645E+12;3;21.6;;;;;;
21.06.2016 13:32;7;1.46652E+12;0;19.1;;;;;;
26.06.2016 03:53;6;1.46691E+12;12;15.9;;;;;;
27.06.2016 08:45;9;1.46702E+12;12;17.4;;;;;;
02.07.2016 04:22;5;1.46743E+12;7;19.4;;;;;;
03.07.2016 03:29;6;1.46752E+12;7;14.5;;;;;;
03.07.2016 09:21;6;1.46754E+12;10;16.3;;;;;;
04.07.2016 01:49;7;1.4676E+12;5;15.4;;;;;;
04.07.2016 23:09;7;1.46767E+12;10;20.5;;;;;;
08.07.2016 02:51;7;1.46795E+12;11;17.7;;;;;;
12.07.2016 05:00;6;1.4683E+12;9;17.6;;;;;;
14.07.2016 13:46;6;1.4685E+12;2;13.2;;;;;;
18.07.2016 11:46;6;1.46884E+12;2;23;;;;;;
22.07.2016 15:25;6;1.4692E+12;6;21.3;;;;;;
23.07.2016 09:27;7;1.46927E+12;1;20.3;;;;;;
28.07.2016 19:39;6;1.46973E+12;10;23.8;;;;;;
03.08.2016 08:42;6;1.47021E+12;6;20.3;;;;;;
03.08.2016 16:35;8;1.47024E+12;12;26.8;;;;;;
04.08.2016 12:22;5;1.47031E+12;1;25.6;;;;;;
09.08.2016 20:32;7;1.47077E+12;9;13.9;;;;;;
17.08.2016 08:19;7;1.47142E+12;4;17.8;;;;;;
23.08.2016 02:17;6;1.47192E+12;10;15.5;;;;;;
23.08.2016 13:29;8;1.47196E+12;3;24.3;;;;;;
25.08.2016 14:36;5;1.47214E+12;8;26;;;;;;
26.08.2016 15:52;5;1.47223E+12;9;29;;;;;;
29.08.2016 07:41;9;1.47246E+12;1;20.2;;;;;;
31.08.2016 11:53;5;1.47264E+12;1;22.3;;;;;;
05.09.2016 14:00;6;1.47308E+12;4;15.8;;;;;;
06.09.2016 02:37;5;1.47313E+12;1;13.4;;;;;;
06.09.2016 22:57;8;1.4732E+12;4;18.7;;;;;;
15.09.2016 20:27;8;1.47397E+12;6;19.7;;;;;;
